"genes"	"modules"
"668"	"ELMO3"	"M3"
"669"	"SFRP4"	"M2"
"670"	"ATP2C2"	"M1"
"671"	"DOP1B"	"M1"
"672"	"OLFM4"	"M3"
"673"	"GAS1"	"M3"
"674"	"CAVIN3"	"M2"
"675"	"TMEM176B"	"M1"
"676"	"TSTD1"	"M1"
"677"	"BMPR1B"	"M1"
"678"	"DNAJB5"	"M2"
"679"	"RHPN2"	"M1"
"680"	"SERPINF2"	"M4"
"681"	"LMO3"	"M1"
"682"	"SLCO2B1"	"M6"
"683"	"PLP1"	"M1"
"684"	"SH2D3A"	"M3"
"685"	"EVPL"	"M3"
"686"	"IER3"	"M4"
"687"	"PLPP2"	"M3"
"688"	"BDH1"	"M1"
"689"	"KLF15"	"M3"
"690"	"CDC42BPG"	"M3"
"691"	"MT1G"	"M1"
"692"	"ADGRD1"	"M1"
"693"	"MYZAP"	"M2"
"694"	"C1QB"	"M6"
"695"	"ABO"	"M3"
"696"	"MAP1A"	"M2"
"697"	"S1PR1"	"M4"
"698"	"PGR"	"M1"
"699"	"PCDH18"	"M5"
"700"	"FAM13C"	"M4"
"701"	"RBPMS2"	"M2"
"702"	"ITGA2"	"M3"
"703"	"HOXD10"	"M3"
"704"	"MUC20"	"M3"
"705"	"GFPT2"	"M1"
"706"	"ANO9"	"M3"
"707"	"PCDH7"	"M2"
"708"	"ACOX2"	"M5"
"709"	"DNM1"	"M5"
"710"	"ASB2"	"M2"
"711"	"NKD1"	"M2"
"712"	"PRSS8"	"M1"
"713"	"CHDH"	"M1"
"714"	"CD248"	"M5"
"715"	"POPDC2"	"M2"
"716"	"REPS2"	"M1"
"717"	"EYA1"	"M2"
"718"	"TFAP2A"	"M3"
"719"	"GRAMD4"	"M4"
"720"	"HLA.DQB1"	"M6"
"721"	"CAMSAP3"	"M3"
"722"	"PC"	"M1"
"723"	"CELSR1"	"M3"
"724"	"RAB3B"	"M1"
"725"	"X.97"	"M1"
"726"	"CSF1R"	"M6"
"727"	"TNFRSF21"	"M3"
"728"	"AEN"	"M1"
"729"	"EMB"	"M1"
"730"	"GRHL1"	"M3"
"731"	"ADAMTS2"	"M1"
"732"	"RGCC"	"M1"
"733"	"CNTNAP1"	"M4"
"734"	"SRGAP3"	"M3"
"735"	"IRX3"	"M3"
"736"	"ACSM3"	"M1"
"737"	"SERPINE2"	"M4"
"738"	"EPDR1"	"M2"
"739"	"VIPR2"	"M1"
"740"	"PLIN5"	"M1"
"741"	"ERAP2"	"M5"
"742"	"SGIP1"	"M4"
"743"	"ABI3BP"	"M3"
"744"	"RORC"	"M1"
"745"	"EPN3"	"M3"
"746"	"ESRP1"	"M3"
"747"	"IKZF2"	"M3"
"748"	"FGFR3"	"M3"
"749"	"CORO2A"	"M3"
"750"	"TNFRSF1B"	"M4"
"751"	"RAPGEFL1"	"M3"
"752"	"ICAM1"	"M4"
"753"	"PKP3"	"M3"
"754"	"CDKN1C"	"M3"
"755"	"FRAS1"	"M1"
"756"	"HBA1"	"M1"
"757"	"PCOLCE2"	"M5"
"758"	"MYH3"	"M1"
"759"	"RBFOX3"	"M2"
"760"	"GALNT17"	"M2"
"761"	"ARHGEF16"	"M3"
"762"	"PHYHIPL"	"M4"
"763"	"DOCK8"	"M1"
"764"	"GDF7"	"M4"
"765"	"GMNN"	"M1"
"766"	"COL17A1"	"M3"
"767"	"MXRA5"	"M5"
"768"	"CLDN7"	"M3"
"769"	"KIAA1755"	"M5"
"770"	"ESR1"	"M1"
"771"	"KCNN4"	"M3"
"772"	"CCDC71L"	"M4"
"773"	"PRIM2"	"M1"
"774"	"ZBTB16"	"M2"
"775"	"TMC5"	"M3"
"776"	"SEMA4G"	"M1"
"777"	"FAM83H"	"M3"
"778"	"HSD17B6"	"M2"
"779"	"JPH4"	"M2"
"780"	"GPRC5A"	"M4"
"781"	"ZG16B"	"M1"
"782"	"PYCR1"	"M1"
"783"	"SSC5D"	"M1"
"784"	"CLDN11"	"M5"
"785"	"ANKRD37"	"M1"
"786"	"ASRGL1"	"M1"
"787"	"PTGS1"	"M1"
"788"	"ACTC1"	"M2"
"789"	"ABLIM3"	"M3"
"790"	"ANK2"	"M3"
"791"	"NEGR1"	"M3"
"792"	"DHRS13"	"M3"
"793"	"RGL3"	"M2"
"794"	"KLK11"	"M1"
"795"	"ITGA11"	"M5"
"796"	"TESK2"	"M1"
"797"	"NCKAP1L"	"M2"
"798"	"OLFML2A"	"M2"
"799"	"FAT4"	"M5"
"800"	"CXCR4"	"M6"
"801"	"CLDN3"	"M1"
"802"	"APOE"	"M1"
"803"	"CBS"	"M1"
"804"	"CACNB2"	"M2"
"805"	"OTULINL"	"M1"
"806"	"ZNF350"	"M1"
"807"	"PPM1H"	"M1"
"808"	"CFAP70"	"M1"
"809"	"FAIM2"	"M5"
"810"	"ISL1"	"M1"
"811"	"POSTN"	"M2"
"812"	"X.161"	"M2"
"813"	"SCHIP1"	"M2"
"814"	"FGL2"	"M3"
"815"	"CLDN1"	"M3"
"816"	"CGN"	"M3"
"817"	"C1QC"	"M6"
"818"	"MPPED2"	"M3"
"819"	"SLC36A1"	"M1"
"820"	"DSG2"	"M3"
"821"	"DYSF"	"M2"
"822"	"X.230"	"M1"
"823"	"CCDC183"	"M1"
"824"	"P2RX1"	"M2"
"825"	"CYP4B1"	"M3"
"826"	"HGF"	"M4"
"827"	"ADRA2C"	"M1"
"828"	"RAP1GAP"	"M1"
"829"	"DTX4"	"M2"
"830"	"VLDLR"	"M2"
"831"	"SBSPON"	"M3"
"832"	"NABP1"	"M4"
